author_adjlist,author_metis,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
8214250       ,8148        ,0       ,1       ,1             ,0      ,0      ,0       ,1       ,0    ,1
3089090       ,2364        ,1       ,0       ,0             ,1      ,0      ,1       ,0       ,0    ,9
2346371       ,8093        ,0       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,7
4454615       ,3775        ,0       ,0       ,1             ,1      ,0      ,1       ,0       ,0    ,0
6688983       ,312         ,0       ,1       ,1             ,0      ,1      ,0       ,1       ,0    ,0
5355469       ,7098        ,0       ,0       ,0             ,0      ,0      ,1       ,1       ,0    ,0
7028851       ,3595        ,0       ,0       ,0             ,0      ,0      ,1       ,1       ,0    ,0
1803886       ,4353        ,0       ,0       ,0             ,1      ,0      ,0       ,0       ,0    ,0
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,1
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,0
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,2
8437691       ,7041        ,1       ,1       ,0             ,1      ,1      ,0       ,1       ,0    ,2
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,0
5982464       ,4681        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,1    ,2
8437691       ,7041        ,1       ,1       ,0             ,1      ,1      ,0       ,1       ,0    ,4
4086497       ,3048        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,0    ,3
8437691       ,7041        ,1       ,1       ,0             ,1      ,1      ,0       ,1       ,0    ,1
641743        ,4697        ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,1    ,2
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,9
4086497       ,3048        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,0    ,7
2229006       ,7652        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,0    ,1
8437691       ,7041        ,1       ,1       ,0             ,1      ,1      ,0       ,1       ,1    ,13
1584646       ,2405        ,0       ,0       ,0             ,1      ,0      ,1       ,0       ,0    ,0
873942        ,8195        ,0       ,1       ,1             ,1      ,0      ,1       ,0       ,1    ,0
6244880       ,6666        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,2
4482230       ,6932        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,3
7840329       ,885         ,0       ,0       ,1             ,1      ,0      ,1       ,1       ,0    ,12
8994464       ,2119        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,0    ,0
9042606       ,317         ,0       ,1       ,1             ,0      ,1      ,0       ,0       ,1    ,1
1448310       ,689         ,0       ,1       ,0             ,1      ,1      ,1       ,0       ,0    ,0
4736663       ,4760        ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,0    ,0
1087609       ,6979        ,0       ,0       ,1             ,0      ,1      ,1       ,0       ,0    ,0
1982529       ,3525        ,0       ,0       ,1             ,0      ,1      ,1       ,1       ,0    ,1
1077934       ,219         ,0       ,0       ,0             ,1      ,1      ,1       ,0       ,0    ,2
7254569       ,7061        ,0       ,1       ,1             ,0      ,0      ,1       ,0       ,0    ,0
4226355       ,2510        ,0       ,0       ,1             ,0      ,1      ,0       ,0       ,1    ,2
9065342       ,6506        ,0       ,0       ,1             ,0      ,1      ,0       ,0       ,0    ,0
5495132       ,6993        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,0    ,1
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,1    ,8
6367785       ,7763        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,0    ,0
1320607       ,2616        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,1
9042606       ,317         ,0       ,1       ,1             ,0      ,1      ,0       ,0       ,0    ,2
7283197       ,1408        ,0       ,1       ,1             ,0      ,1      ,0       ,1       ,0    ,0
4017532       ,894         ,0       ,1       ,1             ,0      ,0      ,1       ,1       ,0    ,1
3429099       ,7032        ,0       ,0       ,0             ,1      ,1      ,1       ,0       ,0    ,0
3842105       ,5292        ,0       ,1       ,1             ,1      ,0      ,0       ,1       ,1    ,2
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,1    ,1
6558904       ,7429        ,0       ,0       ,0             ,1      ,1      ,1       ,1       ,1    ,0
2229006       ,7652        ,0       ,0       ,1             ,0      ,1      ,0       ,0       ,0    ,0
7028851       ,3595        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,0    ,0
5805194       ,6766        ,0       ,0       ,0             ,1      ,0      ,1       ,1       ,1    ,0
2894227       ,2144        ,1       ,1       ,0             ,1      ,1      ,1       ,0       ,0    ,0
8437691       ,7041        ,1       ,1       ,0             ,1      ,1      ,0       ,1       ,1    ,6
2229006       ,7652        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,1    ,1
